ts,relay_rss_kb,nginx_rss_kb,tcp_estab,relay_fds,nginx_fds_total,rx_bytes,tx_bytes,load1,cpu_pct,mem_avail_kb
1776197160,47840,81064,296,119,258,35517589336,4701919247,0.08,4.8,7437232
1776197165,112328,104732,2237,764,1575,35518835609,4705624111,0.07,11.9,7363464
1776197170,160416,120928,3296,1119,2258,35519714038,4708416241,0.07,0,7302360
1776197176,160416,120928,3296,1119,2258,35519783213,4708418099,0.06,0,7299408
1776197181,160416,120928,3296,1119,2258,35519870540,4708426596,0.06,2.3,7298692
1776197186,160416,120928,3296,1119,2258,35519954057,4708428530,0.05,2.3,7296212
1776197192,160436,120928,3296,1119,2258,35520331253,4709471788,0.05,9.4,7301036
1776197197,160808,120928,3296,1119,2258,35521195603,4712061519,0.04,7.2,7299152
1776197203,160916,120928,3296,1119,2258,35521339148,4712260347,0.04,2.3,7296180
1776197208,160916,120928,3296,1119,2258,35521405079,4712261823,0.04,0,7300032
1776197213,160916,120928,3296,1119,2258,35521485130,4712263565,0.03,0,7297036
1776197219,160916,120928,3296,1119,2258,35521548174,4712265537,0.03,0,7293788
1776197224,161736,120972,3296,1119,2258,35522248057,4714340054,0.19,7,7293252
1776197229,162000,120972,3276,1063,1284,35522891375,4716919089,0.17,2.4,7287720
1776197235,162000,120972,1761,607,1234,35522994977,4719470857,0.16,7,7263496
1776197240,162000,120972,1760,607,1234,35523076296,4720046432,0.14,2.4,7274256
1776197246,162000,120972,1760,607,1234,35523157340,4720048810,0.13,0,7285720
1776197251,162000,120972,1760,607,1234,35523222144,4720605099,0.12,0,7282208
1776197256,162000,120972,1760,607,1234,35523311722,4720607247,0.11,0,7281204
1776197262,162000,120992,2111,722,1487,35523588074,4721202962,0.10,7.2,7279772
1776197267,183248,130952,3810,1287,2623,35524621839,4724186070,0.09,9.4,7248372
1776197272,245996,152008,5198,1753,3526,35525578819,4727661423,0.09,2.4,7161008
1776197278,245996,152008,5198,1753,3526,35525651736,4727670642,0.08,2.3,7158116
