ts,relay_rss_kb,nginx_rss_kb,tcp_estab,relay_fds,nginx_fds_total,rx_bytes,tx_bytes,load1,cpu_pct,mem_avail_kb
1776198406,292744,165256,35,31,84,35565060138,4804062680,0.00,2.4,7110836
1776198411,292744,165256,249,245,84,35565312342,4804244844,0.00,2.4,7109792
1776198416,292744,165256,468,464,84,35565593306,4804535175,0.00,4.6,7109620
1776198422,292744,165256,694,690,84,35565895553,4804947342,0.00,4.8,7115500
1776198427,292744,165256,921,918,84,35566249290,4805487128,0.00,2.4,7114140
1776198432,292744,165256,1143,1140,84,35566605806,4806111503,0.00,4.8,7117864
1776198438,292744,165256,1371,1368,84,35567075928,4807058916,0.00,4.8,7116976
1776198443,292744,165256,1522,1519,84,35567571067,4808123010,0.00,4.6,7115476
1776198449,292744,165256,1522,1519,84,35567830212,4808665330,0.00,2.4,7115060
1776198454,292744,165256,1522,1519,84,35568101846,4809215268,0.00,0,7115096
1776198459,292744,165256,1522,1519,84,35568368937,4809760188,0.00,4.7,7121676
1776198465,292744,165256,1522,1519,84,35568609839,4810289178,0.00,2.4,7119036
1776198470,292744,165256,1522,1519,84,35569021432,4811259450,0.08,0,7120972
1776198475,292744,165256,1522,1519,84,35569329703,4811935772,0.07,0,7118216
1776198481,292744,165256,1522,1519,84,35569576633,4812480898,0.07,0,7116960
1776198486,292744,165256,1522,1519,84,35569849899,4813040791,0.06,2.4,7114192
1776198491,292744,165256,1522,1519,84,35570120525,4813576097,0.06,0,7112936
1776198497,292744,165256,1522,1519,84,35570418017,4814232207,0.05,2.4,7112144
1776198502,292744,165256,1522,1519,84,35570855767,4815224047,0.05,0,7111136
1776198508,292744,165256,1522,1519,84,35571114318,4815761557,0.04,2.3,7107628
1776198513,292744,165256,1522,1519,84,35571377830,4816309131,0.04,4.6,7111596
1776198518,292744,165256,1522,1519,84,35571655238,4816859259,0.04,2.4,7110588
1776198524,292744,165256,1522,1519,84,35571902968,4817394381,0.03,2.4,7109080
1776198529,292744,165256,1415,1412,84,35572354779,4818495158,0.03,2.4,7110960
1776198534,292744,165256,1220,1217,84,35572830066,4819603006,0.19,2.4,7108800
1776198540,292744,165256,1014,1010,84,35573171984,4820381720,0.17,2.3,7106572
1776198545,292744,165256,806,803,84,35573483693,4821017007,0.16,2.4,7111688
1776198550,292744,165256,599,598,82,35573749772,4821495920,0.14,2.4,7111856
1776198556,292744,165256,376,385,72,35573955300,4821825402,0.13,2.3,7130416
1776198561,292744,165256,263,273,72,35574264127,4822204048,0.12,4.6,7132528
1776198567,292744,165256,444,453,72,35574553249,4822506219,0.11,2.4,7131452
1776198572,292744,165256,615,624,72,35574850831,4822906076,0.10,4.6,7131316
1776198577,292744,165256,802,811,72,35575197109,4823412902,0.09,0,7129280
1776198583,292744,165256,979,988,72,35575531859,4823964729,0.09,4.8,7126964
1776198588,292744,165256,1179,1188,72,35575914558,4824707774,0.08,2.4,7127308
1776198593,292744,165256,1379,1388,72,35576462092,4825904056,0.07,4.6,7128720
1776198599,292744,165256,1399,1408,72,35576718006,4826449937,0.07,2.4,7128816
1776198604,292744,165256,1427,1436,72,35576987893,4827009975,0.06,2.4,7133308
1776198609,292744,165256,1449,1458,72,35577263675,4827553708,0.05,2.3,7131076
1776198615,292744,165256,1461,1470,72,35577518491,4828090236,0.05,0,7129664
1776198620,292744,165256,1484,1493,72,35577889148,4828920641,0.04,2.4,7128708
1776198626,292744,165256,1497,1506,72,35578279813,4829769280,0.04,2.4,7131852
1776198631,292744,165256,1497,1506,72,35578534806,4830329743,0.04,0,7131352
1776198636,292744,165256,1497,1506,72,35578808388,4830870569,0.03,4.6,7130596
1776198642,292744,165256,1498,1507,72,35579071407,4831407508,0.03,0,7130336
