ts,relay_rss_kb,nginx_rss_kb,tcp_estab,relay_fds,nginx_fds_total,rx_bytes,tx_bytes,load1,cpu_pct,mem_avail_kb
1776200478,292744,165256,17,25,72,35908429772,4856256328,0.01,2.4,7123384
1776200483,292744,165256,1115,575,72,35908514224,4856258186,0.01,7.3,7111096
1776200488,292744,165256,2855,1446,72,35908584299,4856259818,0.01,7,7084692
1776200494,327988,165256,4597,2317,72,35908665181,4856261734,0.01,9.4,7020072
1776200499,435996,165256,6347,3193,72,35908738869,4856263374,0.00,7.2,6866244
1776200505,553264,165256,8093,4067,72,35908800237,4856265144,0.00,9.4,6727924
1776200510,670336,165256,9840,4941,72,35908874436,4856266822,0.00,14,6582268
1776200515,788592,165256,11598,5822,72,35908945201,4856268588,0.00,14.2,6430292
1776200521,909652,165256,13358,6701,72,35908996829,4856270228,0.00,14.6,6285176
1776200526,1030584,165256,15101,7573,72,35909071461,4856272600,0.08,14.6,6131016
1776200531,1151652,165256,16861,8453,72,35909148779,4856274416,0.08,14.3,5990744
1776200537,1271784,165256,18619,9334,72,35909218348,4856276414,0.07,16.6,5852480
1776200542,1369208,165256,20017,10025,72,35909300527,4856278072,0.22,14,5740532
1776200548,1370560,165256,20017,10025,72,35909374502,4856282543,0.21,18.6,5734940
1776200553,1371924,165256,20017,10025,72,35909444898,4856284267,0.59,14.3,5734940
1776200559,1373284,165256,20017,10025,72,35909528248,4856286139,0.54,9.8,5733776
1776200564,1373808,165256,20017,10025,72,35909586417,4856289562,0.50,14.2,5729796
1776200569,1373808,165256,20017,10025,72,35909649408,4856291304,0.46,12.2,5729572
1776200575,1373808,165256,20017,10025,72,35909724343,4856293054,0.39,15.9,5728576
1776200580,1373808,165256,20017,10025,72,35909779955,4856294686,0.36,14.6,5728324
1776200586,1373808,165256,20017,10025,72,35909857695,4856297096,0.33,11.9,5728108
1776200591,1373808,165256,20017,10025,72,35909930171,4856298838,0.30,12.2,5735616
1776200596,1373808,165256,20017,10025,72,35910001230,4856300766,0.28,11.9,5734152
1776200602,1373808,165256,20017,10025,72,35910081634,4856302270,0.33,7.7,5732892
1776200607,1373808,165256,20017,10025,72,35910149418,4856304168,0.79,9.6,5732392
1776200613,1373808,165256,20017,10025,72,35910213736,4856305956,0.73,12.5,5729812
1776200618,1373808,165256,20017,10025,72,35910289912,4856307954,0.67,11.9,5731500
1776200624,1373808,165256,20017,10025,72,35910342972,4856309476,0.61,11.9,5730776
1776200629,1373808,165256,20017,10025,72,35910405807,4856311264,0.56,16.6,5730312
1776200634,1373824,165256,20018,10026,72,35910479890,4856313584,0.52,12.2,5727564
1776200640,1373872,165256,20018,10026,72,35910538337,4856318246,0.68,15.9,5725312
1776200645,1373872,165256,20018,10026,72,35910610670,4856322690,0.62,16.3,5725312
1776200651,1373872,165256,20018,10026,72,35910683847,4856329108,0.57,11.9,5723260
1776200656,1373872,165256,20017,10025,72,35910761637,4856335232,0.93,9.8,5722800
1776200661,1373872,165256,20017,10025,72,35910844534,4856341004,0.85,14.2,5722588
1776200667,1373872,165256,20017,10025,72,35910913143,4856344876,0.79,14.3,5730960
1776200672,1373872,165256,20017,10025,72,35910978463,4856349084,0.72,14.2,5730720
1776200678,1373872,165256,20017,10026,72,35911059422,4856354002,0.66,12.2,5726952
1776200683,1373872,165256,20017,10025,72,35911128992,4856358526,0.77,14.2,5726196
1776200688,1373872,165256,20017,10025,72,35911194049,4856360788,0.71,9.8,5725696
1776200694,1373872,165256,20018,10025,73,35911285680,4856364326,0.73,12.2,5725700
1776200699,1373872,165256,20018,10025,73,35911333162,4856366304,0.83,14.3,5724944
1776200705,1373872,165256,20018,10025,73,35911404393,4856373748,1.19,11.9,5732364
1776200710,1373872,165256,20019,10025,73,35911481967,4856393409,1.09,16.3,5735628
1776200716,1373872,165256,20019,10025,73,35911550257,4856411007,1.00,14.2,5733036
1776200721,1373872,165256,19853,9940,73,35911631318,4856413351,1.00,17.1,5730680
1776200726,1373876,165256,18,25,73,35911705258,4856416849,0.92,2.4,6035164
1776200732,1373876,165256,18,25,73,35911773301,4856420136,0.85,2.4,6030148
1776200737,1373876,165256,18,25,73,35911854589,4856427876,0.78,2.3,6010608
1776200742,1373876,165256,18,25,73,35911909999,4856430034,0.72,2.3,6015356
1776200748,1373876,165256,18,25,73,35911966836,4856432260,0.66,4.6,6016352
1776200753,1373876,165256,19,25,73,35912039608,4856444036,0.61,4.6,6030160
